symbol,period,balance_identity,gross_profit_decomposes,cf_sums_to_net,cf_internal_roll,total_liabilities_identity,net_income_parent_identity,issuance_nonneg
AGP,2022,True,True,True,True,True,True,True
AGP,2023,True,True,True,True,True,True,True
AGP,2024,True,True,True,True,True,True,True
AGP,2025,True,True,True,True,True,True,True
AGX,2011,True,True,True,True,True,True,True
AGX,2012,True,True,True,True,True,True,True
AGX,2013,True,True,True,True,True,True,True
AGX,2014,True,True,True,True,True,True,True
AGX,2016,True,True,True,True,True,True,True
AGX,2017,True,True,True,True,True,True,True
AGX,2018,True,True,True,True,True,True,True
AGX,2019,True,True,True,True,True,True,True
AGX,2020,True,True,True,True,True,True,True
AGX,2021,True,True,True,True,True,True,True
AGX,2022,True,True,True,True,True,True,True
AGX,2023,True,True,True,True,True,True,True
AGX,2024,True,True,True,True,True,True,True
AGX,2025,True,True,True,True,True,True,True
AIG,2018,True,True,True,True,True,True,True
AIG,2019,True,True,True,True,True,True,True
AIG,2020,True,True,True,True,True,True,True
AIG,2021,True,True,True,True,True,True,True
AIG,2022,True,True,True,True,True,True,True
AIG,2023,True,True,True,True,True,True,True
AIG,2024,True,True,True,True,True,True,True
AIG,2025,True,True,True,True,True,True,True
ALP,2009,True,True,True,True,True,True,True
ALP,2010,True,True,True,True,True,True,True
ALP,2011,True,True,True,True,True,True,True
ALP,2012,True,True,True,True,True,True,True
ALP,2013,True,True,True,True,True,True,True
ALT,2009,True,True,True,True,True,True,True
ALT,2010,True,True,True,True,True,True,True
ALT,2011,True,True,True,True,True,True,True
ALT,2012,True,True,True,True,True,True,True
ALT,2013,True,True,True,True,True,True,True
ALT,2014,True,True,True,True,True,True,True
ALT,2015,True,True,True,True,True,True,True
ALT,2016,True,True,True,True,True,True,True
ALT,2017,True,True,True,True,True,True,True
ALT,2018,True,True,True,True,True,True,True
ALT,2019,True,True,True,True,True,True,True
ALT,2020,True,True,True,True,True,True,True
ALT,2021,True,True,True,True,True,True,True
ALT,2022,True,True,True,True,True,True,True
ALT,2023,True,True,True,True,True,True,True
ALT,2024,True,True,True,True,True,True,True
ALT,2025,True,True,True,True,True,True,True
ALV,2011,True,True,True,True,True,True,True
ALV,2013,True,True,True,True,True,True,True
ALV,2015,True,True,True,True,True,True,True
ALV,2016,True,True,True,True,True,True,True
ALV,2017,True,True,True,True,True,True,True
ALV,2018,True,True,True,True,True,True,True
ALV,2019,True,True,True,True,True,True,True
ALV,2020,True,True,True,True,True,True,True
ALV,2021,True,True,True,True,True,True,True
ALV,2022,True,True,True,True,True,True,True
ALV,2023,True,True,True,True,True,True,True
ALV,2024,True,True,True,True,True,True,True
ALV,2025,True,True,True,True,True,True,True
AMC,2009,True,True,True,True,True,True,True
AMC,2010,True,True,True,True,True,True,True
AMC,2011,True,True,True,True,True,True,True
AMC,2012,True,True,True,True,True,True,True
AMC,2013,True,True,True,True,True,True,True
AMC,2014,True,True,True,True,True,True,True
AMC,2015,True,True,True,True,True,True,True
AMC,2016,True,True,True,True,True,True,True
AMC,2017,True,True,True,True,True,True,True
AMC,2018,True,True,True,True,True,True,True
AMC,2019,True,True,True,True,True,True,True
AMC,2020,True,True,True,True,True,True,True
AMC,2021,True,True,True,True,True,True,True
AMC,2022,True,True,True,True,True,True,True
AMC,2023,True,True,True,True,True,True,True
AMC,2024,True,True,True,True,True,True,True
AMD,2012,True,True,True,True,True,True,True
AMD,2015,True,True,True,True,True,True,True
AMD,2016,True,True,True,True,True,True,True
AMD,2017,True,True,True,True,True,True,True
AMD,2018,True,True,True,True,True,True,True
AMD,2019,True,True,True,True,True,True,True
AMD,2020,True,True,True,True,True,True,True
AMD,2021,True,True,True,True,True,True,True
AME,2010,True,True,True,True,True,True,True
AME,2011,True,True,True,True,True,True,True
AME,2012,True,True,True,True,True,True,True
AME,2013,True,True,True,True,True,True,True
AME,2014,True,True,True,True,True,True,True
