formation_year,index,ticker,roa_pos,cfo_pos,delta_roa_pos,accruals_ok,delta_leverage_down,delta_liquidity_up,no_issuance,delta_margin_up,delta_turnover_up,fscore
2016,27,5401.T,1,1,0,1,1,1,0,1,1,7
2016,28,5411.T,1,1,1,1,1,1,1,1,1,9
2016,29,5713.T,1,1,0,1,1,0,1,1,0,6
2016,30,5802.T,1,1,1,1,1,1,1,1,0,8
2016,31,6273.T,1,1,1,1,1,1,1,1,1,9
2016,32,6301.T,1,1,0,1,1,1,1,1,0,7
2016,33,6326.T,1,1,0,0,0,1,1,1,0,5
2016,34,6367.T,1,1,1,1,1,1,0,1,0,7
2016,35,6501.T,1,1,0,1,0,1,1,1,0,6
2016,36,6502.T,0,1,0,1,1,0,1,0,0,4
2016,37,6503.T,1,1,1,1,1,1,1,1,1,9
2016,38,6594.T,1,1,1,1,1,0,0,1,1,7
2016,39,6702.T,1,1,1,1,1,1,1,1,0,8
2016,40,6752.T,1,1,1,1,0,1,1,1,1,8
2016,41,6758.T,0,1,1,1,1,1,0,1,0,6
2016,42,6861.T,1,1,1,0,0,1,1,1,1,7
2016,43,6902.T,1,1,0,1,1,1,0,0,0,5
2016,44,6954.T,1,1,1,1,0,0,1,1,1,7
2016,45,6971.T,1,1,1,1,1,0,1,0,0,6
2016,46,6981.T,1,1,1,1,1,1,1,1,1,9
2016,47,6988.T,1,1,1,1,1,1,0,1,1,8
2016,48,7011.T,1,1,0,1,0,1,0,1,0,5
2016,49,7201.T,1,1,0,1,1,0,0,1,0,5
2016,50,7202.T,1,1,0,1,0,1,1,0,0,5
2016,51,7203.T,1,1,1,1,0,1,1,1,0,7
2016,52,7261.T,1,1,1,1,1,1,1,0,0,7
2016,53,7267.T,1,1,0,1,0,1,1,0,0,5
2016,54,7269.T,1,1,0,1,0,1,1,1,0,6
2016,55,7270.T,1,1,1,1,1,1,1,1,0,8
2016,56,7741.T,1,1,1,1,0,1,1,1,1,8
2016,57,7751.T,1,1,0,1,1,0,0,1,0,5
2016,58,7974.T,1,1,1,1,1,1,1,1,1,9
2016,59,8001.T,1,1,1,1,1,0,1,1,0,7
2016,60,8002.T,1,1,0,1,1,0,1,0,0,5
2016,61,8031.T,1,1,0,1,0,1,0,1,0,5
2016,62,8035.T,1,1,1,0,1,1,0,1,0,6
2016,63,8053.T,0,1,0,1,1,0,0,0,1,4
2016,64,8058.T,1,1,1,1,1,1,1,1,0,8
2016,65,8113.T,1,1,0,1,0,1,1,1,1,7
2016,66,8267.T,1,1,0,1,0,0,1,1,0,5
2016,67,8801.T,1,1,1,0,1,1,0,0,0,5
2016,68,8802.T,1,1,1,1,0,1,1,0,1,7
2016,69,8830.T,1,1,1,0,0,1,1,0,1,6
2016,70,9020.T,1,1,0,1,1,1,1,1,0,7
2016,71,9021.T,1,1,0,1,1,1,1,1,0,7
2016,72,9022.T,1,1,1,1,1,1,1,1,1,9
2016,73,9064.T,1,1,0,1,0,1,1,1,0,6
2016,74,9201.T,1,1,0,1,1,0,1,1,0,6
2016,75,9202.T,1,1,1,1,1,0,0,1,1,7
2016,76,9432.T,1,1,0,1,0,1,1,0,0,5
2016,77,9433.T,1,1,1,1,1,0,1,0,0,6
2016,78,9437.T,1,1,0,1,0,1,1,0,0,5
2016,79,9502.T,1,1,1,1,1,0,1,1,1,8
2016,80,9503.T,0,1,0,1,1,0,1,0,1,5
2016,81,9735.T,1,1,1,1,0,1,1,0,0,6
2016,82,9983.T,1,1,1,1,1,1,0,0,1,7
2016,83,9984.T,1,1,0,1,1,1,0,0,0,5
2017,0,1605.T,1,1,0,1,0,0,1,0,0,4
2017,1,1878.T,1,1,1,1,1,0,1,1,1,8
2017,2,1925.T,1,1,0,1,1,0,0,1,1,6
2017,3,1928.T,1,1,0,0,1,0,0,1,0,4
2017,4,2502.T,1,1,1,1,0,0,0,1,0,5
2017,5,2503.T,1,1,1,1,1,0,1,0,1,7
2017,6,2802.T,1,1,1,1,0,1,1,1,1,8
2017,7,2914.T,1,1,0,0,0,0,0,1,0,3
2017,8,3382.T,1,1,0,1,0,1,0,1,0,5
2017,9,3402.T,1,1,1,1,0,1,0,1,0,6
2017,10,3407.T,1,1,0,1,1,0,1,1,0,6
2017,11,4063.T,1,1,1,1,1,1,0,1,0,7
2017,12,4188.T,1,1,0,1,0,1,0,1,0,5
2017,13,4452.T,1,1,1,1,1,0,1,1,0,7
2017,14,4502.T,1,1,1,0,1,1,1,0,1,7
2017,15,4503.T,1,1,1,1,0,0,1,1,1,7
2017,16,4507.T,1,1,1,1,1,1,0,1,1,8
2017,17,4523.T,1,1,1,1,1,1,0,0,0,6
2017,18,4528.T,1,1,1,0,0,0,0,0,1,4
2017,19,4568.T,1,1,0,1,1,1,1,1,1,8
2017,20,4578.T,1,1,0,1,1,1,1,0,0,6
2017,21,4661.T,1,1,0,1,1,1,0,1,0,6
2017,22,4755.T,1,1,0,0,0,1,0,0,0,3
2017,23,4901.T,1,1,0,1,1,0,1,1,0,6
2017,24,4911.T,1,1,0,1,0,1,0,1,1,6
2017,25,5020.T,0,1,0,1,0,0,1,1,0,4
2017,26,5108.T,1,1,0,1,1,0,0,1,0,5
2017,27,5401.T,1,1,0,1,0,0,1,0,0,4
2017,28,5411.T,1,1,0,1,1,0,0,0,0,4
2017,29,5713.T,0,1,0,1,1,1,1,0,0,5
2017,30,5802.T,1,1,0,1,1,1,1,1,0,7
2017,31,6273.T,1,1,0,1,1,1,0,1,0,6
2017,32,6301.T,1,1,0,1,1,1,0,0,0,5
2017,33,6326.T,1,1,0,1,1,0,1,0,0,5
2017,34,6367.T,1,1,1,1,1,0,0,1,0,6
2017,35,6501.T,1,1,0,1,1,0,1,0,0,5
2017,36,6502.T,0,0,0,1,1,1,1,0,0,4
2017,37,6503.T,1,1,0,1,0,1,1,1,0,6
2017,38,6594.T,1,1,1,1,1,0,0,0,0,5
2017,39,6702.T,1,1,0,1,1,1,1,0,0,6
2017,40,6752.T,1,1,0,1,1,0,0,1,0,5
2017,41,6758.T,1,1,1,1,1,0,0,1,0,6
2017,42,6861.T,1,1,0,0,0,1,1,1,0,5
2017,43,6902.T,1,1,0,1,1,0,1,0,0,5
2017,44,6954.T,1,1,0,0,0,1,1,0,0,4
2017,45,6971.T,1,1,0,1,1,0,1,1,0,6
2017,46,6981.T,1,1,1,1,1,1,1,1,1,9
2017,47,6988.T,1,1,0,1,1,1,1,1,0,7
2017,48,7011.T,1,1,0,1,1,0,0,1,0,5
2017,49,7201.T,1,1,0,1,1,0,1,1,0,6
2017,50,7202.T,1,1,0,1,0,1,1,1,0,6
2017,51,7203.T,1,1,0,1,1,1,1,1,0,7
2017,52,7261.T,1,1,0,1,1,0,1,0,1,6
2017,53,7267.T,1,1,0,1,1,0,1,0,0,5
2017,54,7269.T,1,1,1,1,1,0,1,0,0,6
2017,55,7270.T,1,1,1,1,1,1,1,1,0,8
2017,56,7741.T,1,1,0,1,0,0,1,1,0,5
2017,57,7751.T,1,1,0,1,0,0,1,0,0,4
2017,58,7974.T,1,1,0,1,1,1,0,1,0,6
2017,59,8001.T,1,1,0,1,0,1,1,1,0,6
2017,60,8002.T,1,1,0,1,1,1,1,1,0,7
2017,61,8031.T,0,1,0,1,1,1,1,0,0,5
2017,62,8035.T,1,1,1,0,1,0,1,1,1,7
2017,63,8053.T,1,1,1,1,1,1,0,0,1,7
2017,64,8058.T,0,1,0,1,1,0,1,1,0,5
2017,65,8113.T,1,1,0,1,1,1,1,1,0,7
2017,66,8267.T,1,1,0,1,0,0,0,0,1,4
2017,67,8801.T,1,1,1,0,1,0,1,1,0,6
2017,68,8802.T,1,1,1,1,0,1,1,1,0,7
2017,69,8830.T,1,1,1,1,1,1,1,1,0,8
2017,70,9020.T,1,1,1,1,1,1,1,1,1,9
2017,71,9021.T,1,1,1,1,1,0,1,1,1,8
2017,72,9022.T,1,1,1,1,1,1,1,1,1,9
2017,73,9064.T,1,1,1,1,0,1,1,1,0,7
2017,74,9201.T,1,1,1,1,1,1,1,1,0,8
2017,75,9202.T,1,1,1,1,1,1,0,1,0,7
2017,76,9432.T,1,1,1,1,1,1,1,0,1,8
2017,77,9433.T,1,1,1,1,0,1,1,1,0,7
2017,78,9437.T,1,1,1,1,0,0,1,0,1,6
2017,79,9502.T,1,1,1,1,1,0,1,1,0,7
2017,80,9503.T,1,1,1,1,1,0,1,1,0,7
2017,81,9735.T,1,1,0,1,0,0,1,0,0,4
2017,82,9983.T,1,1,0,1,0,0,0,0,0,3
2017,83,9984.T,1,1,0,1,1,0,1,0,0,5
2017,84,6098.T,1,1,0,1,1,0,0,0,1,5
2017,85,9843.T,1,1,1,1,1,1,0,1,1,8
2018,0,1605.T,1,1,1,1,1,1,1,1,0,8
2018,1,1878.T,1,1,1,1,1,0,1,1,1,8
2018,2,1925.T,1,1,1,1,0,1,1,1,1,8
2018,3,1928.T,1,1,1,0,0,1,1,1,1,7
2018,4,2502.T,1,1,1,1,0,0,1,1,1,7
2018,5,2503.T,1,1,1,0,1,1,0,1,1,7
2018,6,2802.T,1,1,0,1,0,0,1,1,0,5
2018,7,2914.T,1,1,0,1,1,0,0,1,0,5
2018,8,3382.T,1,1,0,1,0,0,0,1,0,4
2018,9,3402.T,1,1,1,1,1,0,0,1,0,6
2018,10,3407.T,1,1,1,1,0,1,1,1,0,7
2018,11,4063.T,1,1,1,1,1,0,0,1,0,6
2018,12,4188.T,1,1,1,1,0,1,1,1,0,7
2018,13,4452.T,1,1,1,1,0,1,1,0,1,7
2018,14,4502.T,1,1,1,1,0,0,1,0,1,6
2018,15,4503.T,1,1,1,1,0,1,1,1,0,7
2018,16,4507.T,1,1,1,1,1,0,1,1,1,8
2018,17,4523.T,1,1,0,1,1,0,0,0,1,5
2018,18,4528.T,1,1,1,1,1,0,1,0,1,7
2018,19,4568.T,1,1,0,1,0,1,1,0,1,6
2018,20,4578.T,1,1,1,0,1,1,1,0,1,7
2018,21,4661.T,1,1,1,1,1,1,1,1,0,8
2018,22,4755.T,1,1,1,1,0,0,1,0,1,6
2018,23,4901.T,1,1,1,1,0,1,1,1,0,7
2018,24,4911.T,1,1,0,1,1,1,0,1,1,7
2018,25,5020.T,1,1,1,1,0,1,1,1,1,8
2018,26,5108.T,1,1,1,1,1,1,1,0,1,8
2018,27,5401.T,1,1,1,1,0,0,1,0,1,6
2018,28,5411.T,1,1,1,1,0,1,1,1,1,8
2018,29,5713.T,0,1,0,1,0,1,1,1,0,5
2018,30,5802.T,1,1,1,1,0,0,1,1,1,7
2018,31,6098.T,1,1,1,1,0,0,1,0,1,6
2018,32,6273.T,1,1,1,1,0,1,0,0,1,6
2018,33,6301.T,1,1,0,1,1,1,0,0,1,6
2018,34,6326.T,1,1,0,1,1,0,1,0,1,6
2018,35,6367.T,1,1,1,1,1,0,0,1,1,7
2018,36,6501.T,1,1,1,1,1,1,1,1,0,8
2018,37,6503.T,1,1,0,1,1,0,1,1,0,6
2018,38,6594.T,1,1,1,1,0,0,1,1,1,7
2018,39,6702.T,1,1,1,1,1,1,1,1,0,8
2018,40,6752.T,1,1,0,1,0,1,0,1,1,6
2018,41,6758.T,1,1,0,1,0,0,0,1,0,4
2018,42,6861.T,1,1,1,0,0,0,1,0,0,4
2018,43,6902.T,1,1,1,1,0,1,1,0,1,7
2018,44,6954.T,1,1,0,0,0,0,1,0,0,3
2018,45,6971.T,1,1,0,1,1,1,0,1,0,6
2018,46,6981.T,1,1,0,1,1,0,0,0,0,4
2018,47,6988.T,1,1,0,1,1,0,0,1,1,6
2018,48,7011.T,1,1,1,1,1,1,0,0,0,6
2018,49,7201.T,1,1,1,1,0,1,1,0,0,6
2018,50,7202.T,1,1,0,1,0,1,1,0,1,6
2018,51,7203.T,1,1,0,1,0,0,1,0,0,4
2018,52,7261.T,1,1,0,1,1,0,1,0,0,5
2018,53,7267.T,1,1,1,1,0,1,1,0,0,6
2018,54,7269.T,1,1,1,1,0,1,0,1,1,7
2018,55,7270.T,1,1,0,1,1,0,1,0,0,5
2018,56,7741.T,1,1,1,1,1,0,1,1,1,8
2018,57,7751.T,1,1,1,1,1,0,1,0,1,7
2018,58,7974.T,1,1,1,0,0,0,1,0,1,5
2018,59,8001.T,1,1,1,1,1,0,1,1,1,8
2018,60,8002.T,1,1,1,1,1,0,1,0,1,7
2018,61,8031.T,1,1,1,1,0,1,1,1,1,8
2018,62,8035.T,1,1,1,1,0,0,0,1,1,6
2018,63,8053.T,1,1,1,1,0,0,0,0,1,5
2018,64,8058.T,1,1,1,1,1,0,0,1,1,7
2018,65,8113.T,1,1,1,1,1,1,1,0,0,7
2018,66,8267.T,1,1,1,1,1,1,0,1,0,7
2018,67,8801.T,1,1,1,1,1,1,0,1,1,8
2018,68,8802.T,1,1,1,1,0,1,0,0,1,6
2018,69,8830.T,1,1,1,1,0,1,1,1,1,8
2018,70,9020.T,1,1,1,1,1,1,1,0,0,7
2018,71,9021.T,1,1,1,1,0,0,1,1,0,6
2018,72,9022.T,1,1,1,1,0,1,1,1,1,8
2018,73,9064.T,1,1,0,1,1,0,1,0,1,6
2018,74,9201.T,1,1,0,1,0,1,1,0,0,5
2018,75,9202.T,1,1,1,1,0,1,0,0,1,6
2018,76,9432.T,1,1,1,1,1,0,1,1,0,7
2018,77,9433.T,1,1,1,1,1,1,1,1,1,9
2018,78,9437.T,1,1,1,1,1,1,1,1,1,9
2018,79,9502.T,1,1,0,1,0,1,1,1,0,6
2018,80,9503.T,1,1,1,1,1,0,0,1,0,6
2018,81,9735.T,1,1,0,1,1,1,1,0,0,6
2018,82,9843.T,1,1,1,1,1,1,0,1,1,8
2018,83,9983.T,1,1,1,1,1,1,0,1,0,7
2018,84,9984.T,1,1,1,1,0,1,1,1,1,8
2018,85,4543.T,1,1,1,1,0,0,1,0,0,5
2018,86,6869.T,1,1,1,0,1,1,0,0,0,5
2019,0,1605.T,1,1,0,1,1,0,1,0,1,6
2019,1,1878.T,1,1,0,0,0,1,1,1,0,5
2019,2,1925.T,1,1,1,1,0,1,0,1,0,6
2019,3,1928.T,1,1,1,1,0,1,0,0,0,5
2019,4,2502.T,1,1,0,1,1,0,1,1,0,6
2019,5,2503.T,1,1,0,1,1,0,1,0,1,6
2019,6,2802.T,1,1,1,1,1,0,1,0,0,6
2019,7,2914.T,1,1,0,1,0,1,0,0,0,4
2019,8,3382.T,1,1,1,1,1,1,0,0,1,7
2019,9,3402.T,1,1,0,1,0,1,0,0,1,5
2019,10,3407.T,1,1,1,1,1,1,1,1,1,9
2019,11,4063.T,1,1,1,1,0,0,0,1,1,6
2019,12,4188.T,1,1,1,1,1,0,0,1,1,7
2019,13,4452.T,1,1,0,1,1,0,1,0,0,5
2019,14,4502.T,1,1,1,1,0,1,0,1,0,6
2019,15,4503.T,1,1,0,1,1,0,1,1,0,6
2019,16,4507.T,1,1,1,1,1,1,1,1,0,8
2019,17,4523.T,1,1,1,1,1,1,0,1,1,8
2019,18,4528.T,1,1,0,0,1,0,1,1,0,5
2019,19,4543.T,1,1,1,1,0,1,0,1,1,7
2019,20,4568.T,1,1,1,1,1,0,1,1,0,7
2019,21,4578.T,1,1,0,1,1,0,1,0,1,6
2019,22,4661.T,1,1,0,1,1,1,1,0,0,6
2019,23,4901.T,1,1,1,1,1,0,1,0,0,6
2019,24,4911.T,1,1,1,1,1,0,1,1,1,8
2019,25,5020.T,1,1,1,1,1,1,0,0,1,7
2019,26,5108.T,1,1,0,1,0,0,0,0,0,3
2019,27,5401.T,1,1,1,1,1,1,1,1,1,9
2019,28,5411.T,1,1,1,1,1,0,1,1,1,8
2019,29,5713.T,1,1,1,0,1,0,1,1,1,7
2019,30,5802.T,1,1,1,1,1,1,1,0,1,8
2019,31,6098.T,1,1,0,1,1,1,1,1,0,7
2019,32,6273.T,1,1,1,1,1,0,0,1,1,7
2019,33,6301.T,1,1,1,0,0,0,0,1,1,5
2019,34,6326.T,1,1,0,0,1,1,1,0,0,5
2019,35,6367.T,1,1,1,1,1,1,0,0,1,7
2019,36,6501.T,1,1,1,1,0,1,1,1,1,8
2019,37,6503.T,1,1,1,0,1,1,1,1,1,8
2019,38,6594.T,1,1,0,1,0,1,1,1,1,7
2019,39,6702.T,1,1,1,1,1,1,0,0,1,7
2019,40,6752.T,1,1,1,1,1,0,1,0,0,6
2019,41,6758.T,1,1,1,1,1,1,1,1,1,9
2019,42,6861.T,1,1,1,0,0,0,1,1,1,6
2019,43,6869.T,1,1,0,1,1,0,0,0,1,5
