,ID,CatID,Exchange,IndustryName1,IndustryName2,IndustryName3,Code,Name,TotalShares,URL,FirstTradeDate
1348,757,1,HOSE,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,TYA,CTCP Dây và Cáp Điện Taya Việt Nam,6134773,https://finance.vietstock.vn/TYA-ctcp-day-va-cap-dien-taya-viet-nam.htm,2006-02-14 17:00:00
1349,4405,5,UPCoM,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ và thiết bị thương mại ,UCT,CTCP Đô thị Cần Thơ,5344345,https://finance.vietstock.vn/UCT-ctcp-do-thi-can-tho.htm,2016-11-14 17:00:00
1350,2517,5,UPCoM,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,UDC,CTCP Đầu tư Xây dựng UDCons,35000000,https://finance.vietstock.vn/UDC-ctcp-dau-tu-xay-dung-udcons.htm,2023-05-22 17:00:00
1351,2163,5,UPCoM,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,UDJ,CTCP Phát triển Đô thị,16500000,https://finance.vietstock.vn/UDJ-ctcp-phat-trien-do-thi.htm,2009-12-21 17:00:00
1352,4785,5,UPCoM,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ và thiết bị thương mại ,UDL,CTCP Đô thị và Môi trường Đắk Lắk,6620000,https://finance.vietstock.vn/UDL-ctcp-do-thi-va-moi-truong-dak-lak.htm,2020-01-08 17:00:00
1353,3087,5,UPCoM,Công nghiệp,Hàng hóa công nghiệp,Máy móc công nghiệp,UEM,CTCP Cơ điện Uông Bí - Vinacomin,2438100,https://finance.vietstock.vn/UEM-ctcp-co-dien-uong-bi-vinacomin.htm,2015-09-23 17:00:00
1354,1001,1,HOSE,Tiện ích,Tiện ích,Điện,UIC,CTCP Đầu tư Phát triển Nhà và Đô thị IDICO,8308000,https://finance.vietstock.vn/UIC-ctcp-dau-tu-phat-trien-nha-va-do-thi-idico.htm,2007-11-11 17:00:00
1355,4544,5,UPCoM,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ và thiết bị thương mại ,UMC,CTCP Công trình Đô thị Nam Định,1841617,https://finance.vietstock.vn/UMC-ctcp-cong-trinh-do-thi-nam-dinh.htm,2017-08-27 17:00:00
1356,381,2,HNX,Bất động sản,Bất động sản,Dịch vụ bất động sản,UNI,CTCP Đầu Tư Và Phát Triển Sao Mai Việt,42617632,https://finance.vietstock.vn/UNI-ctcp-dau-tu-va-phat-trien-sao-mai-viet.htm,2009-06-07 17:00:00
1357,2725,5,UPCoM,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ và thiết bị thương mại ,UPC,CTCP Phát triển Công viên Cây xanh và Đô thị Vũng Tàu,3400000,https://finance.vietstock.vn/UPC-ctcp-phat-trien-cong-vien-cay-xanh-va-do-thi-vung-tau.htm,2017-04-20 17:00:00
1358,2452,5,UPCoM,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,UPH,CTCP Dược phẩm TW 25,13294641,https://finance.vietstock.vn/UPH-ctcp-duoc-pham-tw-25.htm,2016-12-28 17:00:00
1359,1188,5,UPCoM,Tài chính,Dịch vụ tài chính,Thị trường vốn,UPS,CTCP Chứng khoán UP,32374600,https://finance.vietstock.vn/UPS-ctcp-chung-khoan-up.htm,2026-03-19 17:00:00
1360,3871,5,UPCoM,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ chuyên nghiệp,USC,CTCP Khảo sát và Xây dựng -USCO,5500000,https://finance.vietstock.vn/USC-ctcp-khao-sat-va-xay-dung-usco.htm,2017-02-05 17:00:00
1361,4726,5,UPCoM,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ và thiết bị thương mại ,USD,CTCP Công trình Đô thị Sóc Trăng,5600000,https://finance.vietstock.vn/USD-ctcp-cong-trinh-do-thi-soc-trang.htm,2019-01-29 17:00:00
1362,5748,5,UPCoM,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ và thiết bị thương mại ,UTT,CTCP Môi trường Nam Thành,3000000,https://finance.vietstock.vn/UTT-ctcp-moi-truong-nam-thanh.htm,2025-10-16 17:00:00
1363,1294,5,UPCoM,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,UXC,CTCP Chế biến Thủy sản Út Xi,35400000,https://finance.vietstock.vn/UXC-ctcp-che-bien-thuy-san-ut-xi.htm,2024-12-30 17:00:00
1364,1866,2,HNX,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,V12,CTCP Xây dựng Số 12,11636000,https://finance.vietstock.vn/V12-ctcp-xay-dung-so-12.htm,2010-01-04 17:00:00
1365,1757,2,HNX,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Hàng tiêu dùng lâu bền,V21,CTCP Vinaconex 21,11999789,https://finance.vietstock.vn/V21-ctcp-vinaconex-21.htm,2010-04-20 17:00:00
1366,1209,1,HOSE,Tài chính,Tổ chức tín dụng,Ngân hàng,VAB,Ngân hàng TMCP Việt Á,816360672,https://finance.vietstock.vn/VAB-ngan-hang-tmcp-viet-a.htm,2025-07-21 17:00:00
1367,3602,5,UPCoM,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,VAF,CTCP Phân lân Nung chảy Văn Điển,37665348,https://finance.vietstock.vn/VAF-ctcp-phan-lan-nung-chay-van-dien.htm,2026-05-12 17:00:00
1368,4530,5,UPCoM,Tiện ích,Tiện ích,Nước,VAV,CTCP VIWACO,47999995,https://finance.vietstock.vn/VAV-ctcp-viwaco.htm,2017-07-25 17:00:00
1369,1480,1,HOSE,Tài chính,Tổ chức tín dụng,Ngân hàng,VBB,Ngân hàng TMCP Việt Nam Thương Tín,1076897384,https://finance.vietstock.vn/VBB-ngan-hang-tmcp-viet-nam-thuong-tin.htm,2026-07-13 17:00:00
1370,1890,2,HNX,Nguyên vật liệu,Nguyên vật liệu,Bao bì và vật chứa,VBC,CTCP Nhựa - Bao bì Vinh,7499972,https://finance.vietstock.vn/VBC-ctcp-nhua-bao-bi-vinh.htm,2010-03-16 17:00:00
1371,4188,5,UPCoM,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ chuyên nghiệp,VBG,CTCP Địa chất Việt Bắc - TKV,8600000,https://finance.vietstock.vn/VBG-ctcp-dia-chat-viet-bac-tkv.htm,2017-03-23 17:00:00
1372,985,5,UPCoM,Công nghệ thông tin,Phần cứng và thiết bị,Điện tử,VBH,CTCP Điện tử Bình Hòa,2900000,https://finance.vietstock.vn/VBH-ctcp-dien-tu-binh-hoa.htm,2017-06-04 17:00:00
1373,5814,5,UPCoM,Công nghiệp,Vận tải,Vận tải mặt đất,VBT,CTCP Vận tải Bảo Thắng,3200000,https://finance.vietstock.vn/VBT-ctcp-van-tai-bao-thang.htm,2026-05-03 17:00:00
1374,1557,2,HNX,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,VC1,CTCP Xây dựng Số 1,12000000,https://finance.vietstock.vn/VC1-ctcp-xay-dung-so-1.htm,2009-05-13 17:00:00
1375,987,2,HNX,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,VC2,CTCP Đầu tư và Xây dựng Vina2,75645525,https://finance.vietstock.vn/VC2-ctcp-dau-tu-va-xay-dung-vina2.htm,2006-12-10 17:00:00
