formation_year,symbol,period,f_score,bm,fwd_return_1y,hold_freq
2013,VNS,2012,8.0,1.2383869891971646,0.5634897972279271,1.0
2013,SRC,2012,8.0,1.082427808525425,0.297192014283397,1.0
2013,CAP,2012,8.0,1.0475444434163168,0.0106874328678807,1.0
2013,DXP,2012,8.0,0.8639012912967322,-0.1580145071824764,1.0
2013,VPK,2012,8.0,0.6586620795144231,-0.2137425880711571,1.0
2013,GHC,2012,8.0,0.6354168443826087,0.2384677095868361,1.0
2013,TAC,2012,8.0,0.488497336858369,0.0469822517570484,1.0
2013,GAS,2012,8.0,0.3717336237882757,1.0359878849471924,1.0
2013,VE3,2012,7.0,2.1561833525572967,0.6728414442700159,0.0295
2013,HTI,2012,7.0,1.5958450559380817,0.3978443653544288,0.026
2013,SEL,2012,7.0,2.5780451204210526,0.6266666666666667,0.025
2013,HT1,2012,7.0,2.322897745602365,1.7600000000000002,0.024
2013,VTB,2012,7.0,2.2289940337866505,0.0932526525198886,0.024
2013,PET,2012,7.0,1.421739360823573,-0.0952662276618003,0.024
2013,RAL,2012,7.0,1.675334190118577,0.2051197297981624,0.023
2013,CYC,2012,7.0,5.371709593248143,0.5357142857142858,0.0215
