score_year,fiscal_year,ticker,fscore,f_roa,f_cfo,f_droa,f_accrual,f_dlever,f_dliquid,f_eq_offer,f_dmargin,f_dturn,sector
2014,2014,1928.T,6,1,1,1,0,1,0,0,1,1,Construction
2014,2014,2502.T,7,1,1,1,1,1,0,0,1,1,Foods
2014,2014,2503.T,6,1,1,0,1,1,0,1,1,0,Foods
2014,2014,2802.T,5,1,1,0,1,0,1,1,0,0,Foods
2014,2014,2914.T,7,1,1,1,0,1,1,0,1,1,Foods
2014,2014,3382.T,6,1,1,1,1,0,1,0,0,1,Retail
2014,2014,3402.T,7,1,1,1,1,0,1,1,0,1,Textiles & apparel
2014,2014,3407.T,8,1,1,1,1,1,1,1,1,0,Chemicals
2014,2014,4063.T,7,1,1,1,1,1,0,0,1,1,Chemicals
2014,2014,4188.T,7,1,1,1,1,0,1,1,0,1,Chemicals
2014,2014,4452.T,6,1,1,1,1,1,0,1,0,0,Chemicals
2014,2014,4502.T,6,1,1,0,1,1,1,0,1,0,Pharmaceuticals
2014,2014,4503.T,9,1,1,1,1,1,1,1,1,1,Pharmaceuticals
2014,2014,4523.T,5,1,1,0,1,1,0,0,0,1,Pharmaceuticals
2014,2014,4568.T,4,1,1,0,0,0,1,0,0,1,Pharmaceuticals
2014,2014,4578.T,7,1,1,1,1,0,0,1,1,1,Pharmaceuticals
2014,2014,4661.T,8,1,1,1,1,1,1,0,1,1,Services
2014,2014,4755.T,6,1,1,1,1,0,1,0,1,0,Services
2014,2014,4901.T,6,1,1,1,1,1,1,0,0,0,Chemicals
2014,2014,4911.T,6,1,1,1,1,1,0,0,0,1,Chemicals
2014,2014,5020.T,6,1,1,0,1,1,0,1,0,1,Petroleum
2014,2014,5108.T,6,1,1,1,1,0,1,0,1,0,Rubber
2014,2014,5401.T,7,1,1,1,1,1,1,0,1,0,Steel
2014,2014,5411.T,9,1,1,1,1,1,1,1,1,1,Steel
2014,2014,5713.T,4,1,1,0,0,1,0,1,0,0,Nonferrous metals
2014,2014,5802.T,7,1,1,1,1,0,0,1,1,1,Nonferrous metals
2014,2014,6273.T,6,1,1,1,0,0,0,1,1,1,Machinery
2014,2014,6301.T,7,1,1,1,1,1,1,0,1,0,Machinery
2014,2014,6326.T,8,1,1,1,0,1,1,1,1,1,Machinery
2014,2014,6367.T,6,1,1,1,1,1,0,0,1,0,Machinery
2014,2014,6501.T,6,1,1,1,0,0,0,1,1,1,Electric machinery
2014,2014,6502.T,8,1,1,1,1,0,1,1,1,1,
2014,2014,6503.T,9,1,1,1,1,1,1,1,1,1,Electric machinery
2014,2014,6594.T,6,1,1,1,1,0,1,0,1,0,Electric machinery
2014,2014,6702.T,7,1,1,1,1,0,1,1,0,1,Electric machinery
2014,2014,6752.T,9,1,1,1,1,1,1,1,1,1,Electric machinery
2014,2014,6758.T,6,0,1,0,1,1,1,0,1,1,Electric machinery
2014,2014,6861.T,7,1,1,1,1,0,0,1,1,1,Electric machinery
2014,2014,6902.T,7,1,1,1,1,1,0,0,1,1,Electric machinery
2014,2014,6954.T,6,1,1,0,1,0,1,1,1,0,Electric machinery
2014,2014,6971.T,8,1,1,1,1,1,1,1,1,0,Electric machinery
2014,2014,6981.T,7,1,1,1,1,0,1,0,1,1,Electric machinery
2014,2014,6988.T,5,1,1,1,1,1,0,0,0,0,Chemicals
2014,2014,7011.T,7,1,1,1,1,1,0,0,1,1,Machinery
2014,2014,7201.T,7,1,1,1,1,1,0,0,1,1,Automotive
2014,2014,7202.T,7,1,1,1,1,1,1,0,1,0,Automotive
2014,2014,7203.T,7,1,1,1,1,0,1,0,1,1,Automotive
2014,2014,7261.T,9,1,1,1,1,1,1,1,1,1,Automotive
2014,2014,7267.T,5,1,1,1,0,0,0,1,0,1,Automotive
2014,2014,7269.T,7,1,1,1,1,1,0,0,1,1,Automotive
2014,2014,7270.T,9,1,1,1,1,1,1,1,1,1,Automotive
2014,2014,7741.T,5,1,1,0,1,1,0,0,0,1,Precision instruments
2014,2014,7751.T,7,1,1,1,1,1,0,1,1,0,Electric machinery
2014,2014,7974.T,4,0,0,0,1,0,1,1,1,0,Services
2014,2014,8001.T,7,1,1,0,1,1,1,1,0,1,Trading companies
2014,2014,8002.T,6,1,1,1,1,0,0,1,0,1,Trading companies
2014,2014,8031.T,5,1,1,0,1,1,0,1,0,0,Trading companies
2014,2014,8035.T,5,0,1,0,1,1,0,0,1,1,Electric machinery
2014,2014,8053.T,7,1,1,0,1,1,1,1,0,1,Trading companies
2014,2014,8058.T,6,1,1,0,1,1,1,0,0,1,Trading companies
2014,2014,8113.T,6,1,1,0,1,1,1,0,0,1,
2014,2014,8267.T,5,1,1,0,1,1,0,0,1,0,Retail
2014,2014,8801.T,7,1,1,1,1,1,0,1,1,0,Real estate
2014,2014,8802.T,8,1,1,1,1,1,0,1,1,1,Real estate
2014,2014,8830.T,7,1,1,1,1,0,1,1,1,0,Real estate
2014,2014,9020.T,8,1,1,1,1,1,1,1,1,0,Railway/bus
2014,2014,9021.T,9,1,1,1,1,1,1,1,1,1,Railway/bus
2014,2014,9022.T,9,1,1,1,1,1,1,1,1,1,Railway/bus
2014,2014,9064.T,5,1,1,0,1,0,0,1,0,1,Land transport
2014,2014,9202.T,6,1,1,0,1,1,0,1,0,1,Air transport
2014,2014,9432.T,6,1,1,1,1,0,0,1,0,1,Communications
2014,2014,9433.T,6,1,1,1,1,0,1,0,0,1,Communications
2014,2014,9437.T,5,1,1,0,1,0,1,1,0,0,
2014,2014,9502.T,5,0,1,0,1,1,0,1,0,1,Electric power
2014,2014,9503.T,5,0,1,1,1,0,1,0,0,1,Electric power
2014,2014,9735.T,5,1,1,0,1,1,0,1,0,0,Services
2014,2014,9983.T,5,1,1,0,1,1,0,0,1,0,Retail
2014,2014,9984.T,6,1,1,0,1,0,1,1,0,1,Communications
2014,2014,4507.T,8,1,1,0,1,1,1,1,1,1,Pharmaceuticals
2014,2014,4528.T,6,1,1,0,1,1,0,1,0,1,
2014,2014,9201.T,7,1,1,0,1,1,1,1,0,1,Air transport
2015,2015,1605.T,5,1,1,0,1,0,1,1,0,0,Mining
